id,label,year,list,link,countries,primary_concepts,secondary_concepts
element_2,Le patrimoine oral Gèlèdé,2008,RL,https://ich.unesco.org/fr/RL/le-patrimoine-oral-gld-00002,"Bénin, Nigéria, Togo","Costumes; Herbage, savanne; Masque; Rituels; Tradition orale; Traditions et expressions orales","Animisme; Artisan; Danse; Espace urbain; Forêt; Humour (littéraire); Instruments de percussion; Matriarchie; Musique vocale; Mythologie; Oiseau; Pratiques sociales, rituels et événements festifs; Récolte; Sculpture sur bois; Serpent; Société secrète; Sécheresse; Théâtralisation; Touristification; Transformation économique rapide"
element_3,Le carnaval d’Oruro,2008,RL,https://ich.unesco.org/fr/RL/le-carnaval-doruro-00003,Bolivie (État plurinational de),Carnaval; Pratique religieuse; Procession; Zone urbaine,"Artisanat; Bois (instruments); Broderie; Changements socioculturels abruptes; Costumes; Danse; Drame; Désertification; Développement urbain; Histoire coloniale; Industrie minière; Masque; Montagne; Musique instrumentale; Praticiens âgés; Pratiques sociales, rituels et événements festifs; Rituels; Site sacré; Surcommercialisation; Syncrétisme religieux"
element_4,L’opéra Kun Qu,2008,RL,https://ich.unesco.org/fr/RL/lopra-kun-qu-00004,Chine,Arts du spectacle; Musique vocale; Opéra,Affectivité; Arts du spectacle; Bois (instruments); Chorégraphie; Costumes; Danse; Idiophones; Instruments de percussion; Oeuvre littéraire représentative; Théâtre; Écosystème non-spécifique; Élite culturelle
element_5,"Le Gbofe d’Afounkaha, la musique des trompes traversières de la communauté Tagbana",2008,RL,https://ich.unesco.org/fr/RL/le-gbofe-dafounkaha-la-musique-des-trompes-traversires-de-la-communaut-tagbana-00005,Côte d'Ivoire,Arts du spectacle; Danse; Instruments à vents; Musique instrumentale,"Affectivité; Apprentissage (métiers); Bois; Choeur; Conflits; Cuir; Cycle de vie; Développement urbain; Exode rural; Fabrication d'instruments; Herbage, savanne; Instruments de percussion; Musique vocale; Rituels; Savoir-faire liés à l’artisanat traditionnel; Tradition orale; Traditions et expressions orales; Travail du bois"
element_6,L’espace culturel de la Fraternité du Saint-Esprit des congos de Villa Mella,2008,RL,https://ich.unesco.org/fr/RL/lespace-culturel-de-la-fraternit-du-saint-esprit-des-congos-de-villa-mella-00006,République dominicaine,"Espace culturel; Instruments de percussion; Musique vocale; Pratique religieuse; Zones marines, côtières et insulaires","Agro-écosystèmes; Arts du spectacle; Confrérie; Danse; Développement urbain; Esclavage; Funérailles; Fête; Histoire coloniale; Intolérance; Musique instrumentale; Pratiques sociales, rituels et événements festifs; Procession; Savoir-faire liés à l’artisanat traditionnel; Traditions et expressions orales; Transformation économique rapide; Éducation musicale"
element_7,Le patrimoine oral et les manifestations culturelles du peuple Zápara,2008,RL,https://ich.unesco.org/fr/RL/le-patrimoine-oral-et-les-manifestations-culturelles-du-peuple-zpara-00007,"Pérou, Équateur",Espace culturel; Forêt; Sensibilisation à l'environnement; Tradition orale,Animal; Chamanisme; Changements socioculturels abruptes; Chasse; Conflits; Connaissances et pratiques concernant la nature et l’univers; Cours d'eau; Diversité biologique; Déboisement; Esclavage; Ethnobotanique; Forêt tropicale; Histoire coloniale; Intolérance; Langues locales; Mythologie; Médecine traditionnelle; Plante; Rituels; Terres humides intérieures; Traditions et expressions orales; Écosystème; Épidémie
element_8,Le chant polyphonique géorgien,2008,RL,https://ich.unesco.org/fr/RL/le-chant-polyphonique-gorgien-00008,Géorgie,Agro-écosystèmes; Arts du spectacle; Chant polyphonique; Musique vocale,Changements socioculturels abruptes; Chants de travail; Exode rural; Festival; Fête; Intolérance; Montagne; Musique religieuse; Médecine traditionnelle; Traditions et expressions orales; Vie quotidienne; Vinification
element_9,L’espace culturel du Sosso-Bala,2008,RL,https://ich.unesco.org/fr/RL/lespace-culturel-du-sosso-bala-00009,Guinée,"Herbage, savanne; Instruments de percussion; Musique instrumentale; Tradition orale",Artisan; Arts du spectacle; Bois; Cours d'eau; Espace culturel; Exode rural; Fabrication d'instruments; Festival; Funérailles; Histoire orale; Légende; Objets rituels; Poésie épique; Ressources financières insuffisantes; Rituels; Savoir-faire liés à l’artisanat traditionnel; Zone aride; Éducation musicale
element_10,"Le théâtre sanscrit, Kutiyattam",2008,RL,https://ich.unesco.org/fr/RL/le-thtre-sanscrit-kutiyattam-00010,Inde,Art religieux; Danse; Théâtre; Zone urbaine,Affectivité; Agro-écosystèmes; Apprentissage (métiers); Arts du spectacle; Expression corporelle; Feu; Hindouisme; Instruments de percussion; Maquillage; Masque; Mécénat; Ressources financières insuffisantes; Rituel de purification; Temple; Transfert de savoir-faire; Transformation économique rapide
element_11,Le théâtre de marionnettes sicilien Opera dei Pupi,2008,RL,https://ich.unesco.org/fr/RL/le-thtre-de-marionnettes-sicilien-opera-dei-pupi-00011,Italie,Arts du spectacle; Marionnette; Théâtre; Zone urbaine,"Artisan; Artisanat; Costumes; Enseignement des arts dramatiques; Famille; Improvisation; Littérature folklorique; Poésie épique; Ressources financières insuffisantes; Saint; Savoir-faire liés à l’artisanat traditionnel; Sculpture sur bois; Touristification; Traditions et expressions orales; Transfert de savoir-faire; Transformation économique rapide; Zones marines, côtières et insulaires"
