"id","label","year","list","link","countries","primary_concepts","secondary_concepts"
"element_2","Oral heritage of Gelede",2008,"RL","https://ich.unesco.org/en/RL/oral-heritage-of-gelede-00002","Benin, Nigeria, Togo","Costumes; Grasslands, savannahs; Masks; Oral tradition; Oral traditions and expressions; Rituals","Animism; Birds; Craft workers; Dance; Drought; Forests; Harvesting; Humour (literary); Matriarchy; Mythology; Percussion instruments; Rapid economic transformation; Secret society; Snake; Social practices, rituals and festive events; Theatrification; Touristification; Urban spaces; Vocal music; Wood carving"
"element_3","Carnival of Oruro",2008,"RL","https://ich.unesco.org/en/RL/carnival-of-oruro-00003","Bolivia (Plurinational State of)","Carnival; Procession; Religious practice; Urban areas","Aged practitioners; Colonial history; Costumes; Dance; Desertification; Drama; Embroidery; Handicrafts; Instrumental music; Masks; Mining; Mountains; Overcommercialization; Rapid sociocultural change; Religious syncretism; Rituals; Sacred sites; Social practices, rituals and festive events; Urban development; Woodwind instruments"
"element_4","Kun Qu opera",2008,"RL","https://ich.unesco.org/en/RL/kun-qu-opera-00004","China","Opera; Performing arts; Vocal music","Choreography; Costumes; Cultural elite; Dance; Emotions; Idiophones; Non-ecosystem specific; Percussion instruments; Performing arts; Representative literary works; Theatre; Woodwind instruments"
"element_5","Gbofe of Afounkaha, the music of the transverse trumps of the Tagbana community",2008,"RL","https://ich.unesco.org/en/RL/gbofe-of-afounkaha-the-music-of-the-transverse-trumps-of-the-tagbana-community-00005","Côte d'Ivoire","Dance; Instrumental music; Performing arts; Wind instruments","Apprenticeship; Choir singing; Conflicts; Emotions; Grasslands, savannahs; Instrument making; Leather; Life cycle; Oral tradition; Oral traditions and expressions; Percussion instruments; Rituals; Rural-urban migration; Traditional craftsmanship; Urban development; Vocal music; Wood; Woodworking"
"element_6","Cultural space of the Brotherhood of the Holy Spirit of the Congos of Villa Mella",2008,"RL","https://ich.unesco.org/en/RL/cultural-space-of-the-brotherhood-of-the-holy-spirit-of-the-congos-of-villa-mella-00006","Dominican Republic","Cultural space; Marine, coastal and island areas; Percussion instruments; Religious practice; Vocal music","Agro-ecosystems; Colonial history; Dance; Feasts; Fraternity; Funeral; Instrumental music; Intolerance; Music education; Oral traditions and expressions; Performing arts; Procession; Rapid economic transformation; Slavery; Social practices, rituals and festive events; Traditional craftsmanship; Urban development"
"element_7","Oral heritage and cultural manifestations of the Zápara people",2008,"RL","https://ich.unesco.org/en/RL/oral-heritage-and-cultural-manifestations-of-the-zpara-people-00007","Ecuador, Peru","Cultural space; Environmental awareness; Forests; Oral tradition","Animals; Biological diversity; Colonial history; Conflicts; Deforestation; Ecosystems; Epidemics; Ethnobotany; Hunting; Inland wetlands; Intolerance; Knowledge and practices concerning nature and the universe; Local languages; Mythology; Oral traditions and expressions; Plants; Rapid sociocultural change; Rituals; Rivers; Shamanism; Slavery; Traditional medicine; Tropical forests"
"element_8","Georgian polyphonic singing",2008,"RL","https://ich.unesco.org/en/RL/georgian-polyphonic-singing-00008","Georgia","Agro-ecosystems; Performing arts; Polyphonic singing; Vocal music","Everyday life; Feasts; Festivals; Intolerance; Mountains; Oral traditions and expressions; Rapid sociocultural change; Religious music; Rural-urban migration; Traditional medicine; Winemaking; Work songs"
"element_9","Cultural space of Sosso-Bala",2008,"RL","https://ich.unesco.org/en/RL/cultural-space-of-sosso-bala-00009","Guinea","Grasslands, savannahs; Instrumental music; Oral tradition; Percussion instruments","Craft workers; Cultural space; Drylands; Epic poetry; Festivals; Funeral; Instrument making; Insufficient financial resources; Legends; Music education; Oral history; Performing arts; Ritual items; Rituals; Rivers; Rural-urban migration; Traditional craftsmanship; Wood"
"element_10","Kutiyattam, Sanskrit theatre",2008,"RL","https://ich.unesco.org/en/RL/kutiyattam-sanskrit-theatre-00010","India","Dance; Religious art; Theatre; Urban areas","Agro-ecosystems; Apprenticeship; Emotions; Fire; Hinduism; Insufficient financial resources; Know-how transfer; Makeup; Masks; Movement education; Patronage of the arts; Percussion instruments; Performing arts; Rapid economic transformation; Ritual purification; Temples"
"element_11","Opera dei Pupi, Sicilian puppet theatre",2008,"RL","https://ich.unesco.org/en/RL/opera-dei-pupi-sicilian-puppet-theatre-00011","Italy","Performing arts; Puppets; Theatre; Urban areas","Costumes; Craft workers; Drama education; Epic poetry; Family; Folk literature; Handicrafts; Improvisation; Insufficient financial resources; Know-how transfer; Marine, coastal and island areas; Oral traditions and expressions; Rapid economic transformation; Saints; Touristification; Traditional craftsmanship; Wood carving"
